part_type,abbr,img_url,name_hasbro,name_takara,page_url,product_code,weight,system,series,attack,defense,stamina,weight_stat,speed,burst
Energy Layer,N/A,,Tide Treptune T3,N/A,https://beyblade.fandom.com/wiki/Energy_Layer_-_Tide_Treptune_T3,,,God Layer System,Beyblade Burst Turbo,,,,,,
Energy Layer,tN,https://vignette.wikia.nocookie.net/beyblade/images/e/e2/LayerTwinNemesis.png/revision/latest?cb=20171228234246,Noctemis N3,Twin Nemesis,https://beyblade.fandom.com/wiki/Energy_Layer_-_Noctemis_N3,BG-07,13.1,God Layer System,Beyblade Burst Evolution,3,2,0,1,1,5
Energy Layer,tW,https://vignette.wikia.nocookie.net/beyblade/images/5/5c/LayerTornadoWyvern.png/revision/latest?cb=20170414183037,Wyvron W3,Tornado Wyvern,https://beyblade.fandom.com/wiki/Energy_Layer_-_Wyvron_W3,B-80,9.2,God Layer System,Beyblade Burst Evolution,0,5,2,3,1,1
Energy Layer,Ω,https://vignette.wikia.nocookie.net/beyblade/images/5/5a/LayerOrichalcum.png/revision/latest?cb=20170915072747,Orichalcum O3,Orichalcum,https://beyblade.fandom.com/wiki/Energy_Layer_-_Orichalcum_O3,B-00,11.49,God Layer System,Beyblade Burst Evolution,0,2,6,4,0,1
Energy Layer,sΩ,https://vignette.wikia.nocookie.net/beyblade/images/8/8a/LayerShadowOrichalcum.png/revision/latest?cb=20170810212229,Shadow Orichalcum,Shadow Orichalcum,https://beyblade.fandom.com/wiki/Energy_Layer_-_Shadow_Orichalcum,B-00,,God Layer System,Beyblade Burst Evolution,,,,,,
Forge Disc,Ω,https://vignette.wikia.nocookie.net/beyblade/images/f/f8/DiskOuter.png/revision/latest?cb=20181115115222,Outer,Outer,https://beyblade.fandom.com/wiki/Forge_Disc_-_D60:_Outer,D60,22.05,God Layer System,Beyblade Burst Evolution,0,0,2,3,0,
Forge Disc,0,https://vignette.wikia.nocookie.net/beyblade/images/4/4c/Disk0.png/revision/latest?cb=20171116103333,0,0,https://beyblade.fandom.com/wiki/Forge_Disc_-_D44:_0,D44,24,God Layer System,Beyblade Burst Evolution,0,0,0,5,0,
Forge Disc,1,https://vignette.wikia.nocookie.net/beyblade/images/e/e2/Disk1.png/revision/latest?cb=20170812060224,1,1,https://beyblade.fandom.com/wiki/Forge_Disc_-_D33:_1,D33,21.2,God Layer System,Beyblade Burst Evolution,4,0,0,1,0,
Forge Disc,2,https://vignette.wikia.nocookie.net/beyblade/images/8/87/Disk2.png/revision/latest?cb=20170315151249,2,2,https://beyblade.fandom.com/wiki/Forge_Disc_-_D47:_2,D47,21.21,God Layer System,Beyblade Burst Evolution,0,2,0,3,0,
Forge Disc,3,https://vignette.wikia.nocookie.net/beyblade/images/a/a9/Disk3.png/revision/latest?cb=20171228222308,3,3,https://beyblade.fandom.com/wiki/Forge_Disc_-_3,,21.6,God Layer System,Beyblade Burst Evolution,1,1,1,2,0,
Forge Disc,4,https://vignette.wikia.nocookie.net/beyblade/images/1/15/Disk4.png/revision/latest?cb=20170315151250,4,4,https://beyblade.fandom.com/wiki/Forge_Disc_-_D50:_4,D50,21.11,God Layer System,Beyblade Burst Evolution,0,0,2,2,1,
Forge Disc,5,https://vignette.wikia.nocookie.net/beyblade/images/b/bc/Disk5.png/revision/latest?cb=20170714225815,5,5,https://beyblade.fandom.com/wiki/Forge_Disc_-_D54:_5,D54,,God Layer System,Beyblade Burst Evolution,0,0,3,1,1,
Forge Disc,6,https://vignette.wikia.nocookie.net/beyblade/images/c/c3/Disk6.png/revision/latest?cb=20170315151250,6,6,https://beyblade.fandom.com/wiki/Forge_Disc_-_D49:_6,D49,21.18,God Layer System,Beyblade Burst Evolution,1,0,0,2,2,
Forge Disc,7,https://vignette.wikia.nocookie.net/beyblade/images/b/b5/Disk7.png/revision/latest?cb=20170615204523,7,7,https://beyblade.fandom.com/wiki/Forge_Disc_-_D30:_7,D30,23.2,God Layer System,Beyblade Burst Evolution,1,0,0,3,1,
Forge Disc,8,https://vignette.wikia.nocookie.net/beyblade/images/3/3b/Disk8.png/revision/latest?cb=20170414183108,8,8,https://beyblade.fandom.com/wiki/Forge_Disc_-_D28:_8,D28,22,God Layer System,Beyblade Burst Evolution,0,2,2,1,0,
Disc Frame,B,https://vignette.wikia.nocookie.net/beyblade/images/8/8b/FrameBump.png/revision/latest?cb=20171013221335,Bump,Bump,https://beyblade.fandom.com/wiki/Disc_Frame_-_Bump,,3.27,God Layer System,Beyblade Burst Evolution,0,2,0,0,0,0
Disc Frame,C,https://vignette.wikia.nocookie.net/beyblade/images/e/e8/FrameCross.png/revision/latest?cb=20170315151252,Cross,Cross,https://beyblade.fandom.com/wiki/Disc_Frame_-_Cross,,2.33,God Layer System,Beyblade Burst Evolution,0,0,1,1,0,0
Disc Frame,F,https://vignette.wikia.nocookie.net/beyblade/images/1/1f/FrameFlow.png/revision/latest?cb=20170714225859,Flow,Flow,https://beyblade.fandom.com/wiki/Disc_Frame_-_Flow,,,God Layer System,Beyblade Burst Evolution,0,0,1,0,1,0
Disc Frame,G,https://vignette.wikia.nocookie.net/beyblade/images/a/a5/FrameGlaive.png/revision/latest?cb=20171229000048,Glaive,Glaive,https://beyblade.fandom.com/wiki/Disc_Frame_-_Glaive,,2.34,God Layer System,Beyblade Burst Evolution,0,1,0,1,0,0
Disc Frame,H,https://vignette.wikia.nocookie.net/beyblade/images/f/fc/FrameHit.png/revision/latest?cb=20171228222339,Hit,Hit,https://beyblade.fandom.com/wiki/Disc_Frame_-_Hit,,2,God Layer System,Beyblade Burst Evolution,0,0,0,0,0,2
Disc Frame,M,https://vignette.wikia.nocookie.net/beyblade/images/4/44/FrameMeteor.png/revision/latest?cb=20171229000117,Meteor,Meteor,https://beyblade.fandom.com/wiki/Disc_Frame_-_Meteor,,2.7,God Layer System,Beyblade Burst Evolution,2,0,0,0,0,0
Disc Frame,S,https://vignette.wikia.nocookie.net/beyblade/images/a/a6/FrameStar.png/revision/latest?cb=20180306175308,Star,Star,https://beyblade.fandom.com/wiki/Disc_Frame_-_Star,,2.42,God Layer System,Beyblade Burst Evolution,1,0,0,0,1,0
Disc Frame,U,https://vignette.wikia.nocookie.net/beyblade/images/b/bd/FrameUnder.png/revision/latest?cb=20171215110228,Under,Under,https://beyblade.fandom.com/wiki/Disc_Frame_-_Under,,2.38,God Layer System,Beyblade Burst Evolution,1,1,0,0,0,0
Disc Frame,V,https://vignette.wikia.nocookie.net/beyblade/images/6/6b/FrameVortex.png/revision/latest?cb=20170315151253,Vortex,Vortex,https://beyblade.fandom.com/wiki/Disc_Frame_-_Vortex,,2.51,God Layer System,Beyblade Burst Evolution,1,0,0,0,0,1
Performance Tip,At,https://vignette.wikia.nocookie.net/beyblade/images/c/c6/DriverAtomic.png/revision/latest?cb=20170414183133,Atomic,Atomic,https://beyblade.fandom.com/wiki/Performance_Tip_-_TD07:_Atomic,TD07,7.4,God Layer System,Beyblade Burst Evolution,0,4,1,1,1,
Performance Tip,Br,https://vignette.wikia.nocookie.net/beyblade/images/4/42/DriverBearing.png/revision/latest?cb=20171013221333,Bearing,Bearing,https://beyblade.fandom.com/wiki/Performance_Tip_-_TS12:_Bearing,TS12,,God Layer System,Beyblade Burst Evolution,0,2,5,0,0,
Performance Tip,Ds,https://vignette.wikia.nocookie.net/beyblade/images/1/1d/DriverDestroy.png/revision/latest?cb=20171013221334,Destroy,Destroy,https://beyblade.fandom.com/wiki/Performance_Tip_-_TA14:_Destroy,TA14,6.2,God Layer System,Beyblade Burst Evolution,3,0,1,0,2,
Performance Tip,Fl,https://vignette.wikia.nocookie.net/beyblade/images/5/5b/DriverFlugel.png/revision/latest?cb=20170315151251,Flugel,Flugel,https://beyblade.fandom.com/wiki/Performance_Tip_-_TS11:_Flugel,TS11,5.88,God Layer System,Beyblade Burst Evolution,0,1,3,0,2,
Performance Tip,Gr,https://vignette.wikia.nocookie.net/beyblade/images/5/5b/DriverGuard.png/revision/latest?cb=20170714225936,Guard,Guard,https://beyblade.fandom.com/wiki/Performance_Tip_-_TD09:_Guard,TD09,,God Layer System,Beyblade Burst Evolution,0,3,1,2,0,
Performance Tip,Hn,https://vignette.wikia.nocookie.net/beyblade/images/4/46/DriverHunter.png/revision/latest?cb=20170526232813,Hunter,Hunter,https://beyblade.fandom.com/wiki/Performance_Tip_-_TA12:_Hunter,TA12,6,God Layer System,Beyblade Burst Evolution,2,1,1,0,3,
Performance Tip,Ir,https://vignette.wikia.nocookie.net/beyblade/images/c/c2/DriverIron.png/revision/latest?cb=20170812060249,Iron,Iron,https://beyblade.fandom.com/wiki/Performance_Tip_-_TA13:_Iron,TA13,6.7,God Layer System,Beyblade Burst Evolution,2,0,0,3,2,
Performance Tip,Lp,https://vignette.wikia.nocookie.net/beyblade/images/8/86/DriverLoop.png/revision/latest?cb=20170315151251,Loop,Loop,https://beyblade.fandom.com/wiki/Performance_Tip_-_TD08:_Loop,TD08,6.2,God Layer System,Beyblade Burst Evolution,0,3,0,2,1,
Performance Tip,Mr,https://vignette.wikia.nocookie.net/beyblade/images/d/d9/DriverMerge.png/revision/latest?cb=20170615204547,Merge,Merge,https://beyblade.fandom.com/wiki/Performance_Tip_-_TB06:_Merge,TB06,5.95,God Layer System,Beyblade Burst Evolution,3,0,2,0,2,
Performance Tip,Nt,https://vignette.wikia.nocookie.net/beyblade/images/e/ed/DriverNothing.png/revision/latest?cb=20170414183153,Nothing,Nothing,https://beyblade.fandom.com/wiki/Performance_Tip_-_TS10:_Nothing,TS10,6.4,God Layer System,Beyblade Burst Evolution,0,2,3,1,0,
Performance Tip,Pl,https://vignette.wikia.nocookie.net/beyblade/images/d/d1/DriverPlanet.png/revision/latest?cb=20170714230008,Planet,Planet,https://beyblade.fandom.com/wiki/Performance_Tip_-_Planet,,,God Layer System,Beyblade Burst Evolution,0,0,4,3,0,
Performance Tip,Rb,https://vignette.wikia.nocookie.net/beyblade/images/f/f5/DriverReboot.png/revision/latest?cb=20170315151252,Reboot,Reboot,https://beyblade.fandom.com/wiki/Performance_Tip_-_TA11:_Reboot,TA11,7.65,God Layer System,Beyblade Burst Evolution,3,0,0,1,3,
Performance Tip,Tw,https://vignette.wikia.nocookie.net/beyblade/images/3/3e/DriverTower.png/revision/latest?cb=20171013221335,Tower,Tower,https://beyblade.fandom.com/wiki/Performance_Tip_-_TB08:_Tower,TB08,,God Layer System,Beyblade Burst Evolution,2,2,1,1,1,
Performance Tip,Ul,https://vignette.wikia.nocookie.net/beyblade/images/f/f6/DriverUltimateReboot.png/revision/latest?cb=20171228234614,Ultimate Reboot,Ultimate Reboot,https://beyblade.fandom.com/wiki/Performance_Tip_-_Ultimate_Reboot,,8,God Layer System,Beyblade Burst Evolution,3,0,0,1,4,
Performance Tip,Wd,https://vignette.wikia.nocookie.net/beyblade/images/d/d1/DriverWedge.png/revision/latest?cb=20180115100615,Wedge,Wedge,https://beyblade.fandom.com/wiki/Performance_Tip_-_Wedge,,7,God Layer System,Beyblade Burst Evolution,0,1,3,3,0,
Performance Tip,Zt,https://vignette.wikia.nocookie.net/beyblade/images/9/97/DriverZeta.png/revision/latest?cb=20171116103333,Zeta,Zeta,https://beyblade.fandom.com/wiki/Performance_Tip_-_TB07:_Zeta,TB07,,God Layer System,Beyblade Burst Evolution,2,0,0,1,3,
Performance Tip,Ω,https://vignette.wikia.nocookie.net/beyblade/images/1/11/DriverOcta.png/revision/latest?cb=20170915072859,Octa,Octa,https://beyblade.fandom.com/wiki/Performance_Tip_-_TS17:_Octa,TS17,13.98,God Layer System,Beyblade Burst Evolution,0,0,3,4,0,
Performance Tip,∞,https://vignette.wikia.nocookie.net/beyblade/images/a/ac/DriverInfinite.png/revision/latest?cb=20171013221334,Infinite,Infinite,https://beyblade.fandom.com/wiki/Performance_Tip_-_Infinite,,,God Layer System,Beyblade Burst Evolution,0,1,4,5,0,
